"MU","month","year","prcp","tmin","tmid","tmidC","tmax"
"KRV",4,2004,55.4243927001953,286.575500488281,293.699523925781,20.5495239257813,300.823547363281
"KRV",5,2004,43.1651611328125,291.174438476562,297.937042236328,24.7870422363281,304.699645996094
"KRV",6,2004,225.711410522461,294.993774414062,300.909332275391,27.7593322753906,306.824890136719
"KRV",7,2004,190.185470581055,295.713897705078,301.10237121582,27.9523712158203,306.490844726562
"KRV",8,2004,330.105041503906,296.157379150391,300.925277709961,27.775277709961,305.693176269531
"KRV",9,2004,365.801055908203,296.012268066406,300.135696411133,26.9856964111328,304.259124755859
"KRV",10,2004,38.3479919433594,292.012115478516,297.439254760742,24.2892547607422,302.866394042969
"KRV",11,2004,31.5117893218994,287.827056884766,293.887832641602,20.7378326416016,299.948608398438
"KRV",12,2004,55.4690742492676,283.073852539062,289.094635009766,15.9446350097656,295.115417480469
"KRV",1,2005,51.6931190490723,283.462829589844,289.739135742188,16.5891357421875,296.015441894531
"KRV",2,2005,61.5476455688477,283.942810058594,290.547378540039,17.3973785400391,297.151947021484
"KRV",3,2005,133.243362426758,285.570953369141,291.592147827148,18.4421478271485,297.613342285156
"KRV",4,2005,76.7848358154297,286.195495605469,293.353851318359,20.2038513183594,300.51220703125
"KRV",5,2005,111.008522033691,291.433746337891,297.355712890625,24.205712890625,303.277679443359
"KRV",6,2005,383.357452392578,295.416381835938,299.729904174805,26.5799041748047,304.043426513672
"KRV",7,2005,184.470977783203,296.834381103516,301.859252929688,28.7092529296875,306.884124755859
"KRV",8,2005,176.288192749023,296.844696044922,302.02165222168,28.8716522216797,307.198608398438
"KRV",9,2005,106.847503662109,295.373718261719,300.335052490234,27.1850524902344,305.29638671875
"KRV",10,2005,220.467742919922,292.104400634766,296.95246887207,23.8024688720703,301.800537109375
"KRV",11,2005,57.4046401977539,288.104034423828,293.770736694336,20.620736694336,299.437438964844
"KRV",12,2005,37.5304756164551,282.394744873047,288.563629150391,15.4136291503906,294.732513427734
"KRV",1,2006,11.7202968597412,283.026184082031,289.969985961914,16.8199859619141,296.913787841797
"KRV",2,2006,84.5322494506836,281.772064208984,289.06396484375,15.91396484375,296.355865478516
"KRV",3,2006,9.39032936096191,285.041290283203,292.378677368164,19.2286773681641,299.716064453125
"KRV",4,2006,27.1150016784668,288.703491210938,296.043045043945,22.8930450439453,303.382598876953
"KRV",5,2006,56.9245109558105,290.707122802734,297.975387573242,24.8253875732422,305.24365234375
"KRV",6,2006,166.704788208008,294.571929931641,300.199768066406,27.0497680664063,305.827606201172
"KRV",7,2006,198.122787475586,295.426239013672,300.743087768555,27.5930877685547,306.059936523438
"KRV",8,2006,210.278457641602,295.499755859375,301.063568115234,27.9135681152344,306.627380371094
"KRV",9,2006,142.101715087891,294.35595703125,299.87776184082,26.7277618408203,305.399566650391
"KRV",10,2006,28.5204257965088,289.732421875,296.298950195312,23.1489501953125,302.865478515625
"KRV",11,2006,39.7138175964355,285.807769775391,291.843658447266,18.6936584472656,297.879547119141
"KRV",12,2006,74.1795883178711,287.636566162109,292.819076538086,19.669076538086,298.001586914062
"KRV",1,2007,39.0682373046875,284.951599121094,290.762405395508,17.6124053955078,296.573211669922
"KRV",2,2007,40.7710075378418,282.472015380859,289.164123535156,16.0141235351563,295.856231689453
"KRV",3,2007,15.5243501663208,285.937591552734,292.93244934082,19.7824493408203,299.927307128906
"KRV",4,2007,55.5917205810547,286.952087402344,294.35270690918,21.2027069091797,301.753326416016
"KRV",5,2007,42.3174858093262,290.8037109375,297.255630493164,24.1056304931641,303.707550048828
"KRV",6,2007,148.147201538086,294.209411621094,299.833786010742,26.6837860107422,305.458160400391
"KRV",7,2007,213.654891967773,295.604522705078,301.157135009766,28.0071350097656,306.709747314453
"KRV",8,2007,133.598388671875,296.230987548828,301.838150024414,28.6881500244141,307.4453125
"KRV",9,2007,138.673034667969,295.271697998047,300.399627685547,27.2496276855469,305.527557373047
"KRV",10,2007,115.832542419434,294.450561523438,299.062042236328,25.9120422363281,303.673522949219
"KRV",11,2007,12.2187604904175,286.475769042969,292.981842041016,19.8318420410156,299.487915039062
"KRV",12,2007,28.8192367553711,286.824371337891,293.088150024414,19.9381500244141,299.351928710938
"KRV",1,2008,64.5304794311523,283.021423339844,289.668594360352,16.5185943603516,296.315765380859
"KRV",2,2008,52.7715911865234,285.081726074219,291.913482666016,18.7634826660156,298.745239257812
"KRV",3,2008,92.3302841186523,286.329833984375,292.924789428711,19.774789428711,299.519744873047
"KRV",4,2008,95.8505935668945,287.979278564453,294.843948364258,21.6939483642578,301.708618164062
"KRV",5,2008,35.3069114685059,292.148986816406,298.834609985352,25.6846099853516,305.520233154297
"KRV",6,2008,216.072402954102,294.316467285156,300.428619384766,27.2786193847656,306.540771484375
"KRV",7,2008,271.372314453125,295.320281982422,300.508331298828,27.3583312988281,305.696380615234
"KRV",8,2008,354.538604736328,296.162689208984,300.861968994141,27.7119689941406,305.561248779297
"KRV",9,2008,75.7999038696289,295.488250732422,300.361862182617,27.2118621826172,305.235473632812
"KRV",10,2008,77.7385864257812,290.563323974609,296.144104003906,22.9941040039063,301.724884033203
"KRV",11,2008,18.3787994384766,283.709930419922,290.544586181641,17.3945861816406,297.379241943359
"KRV",12,2008,30.8524112701416,284.472473144531,290.936676025391,17.7866760253906,297.40087890625
"KRV",1,2009,36.2015609741211,280.604156494141,288.066421508789,14.9164215087891,295.528686523438
"KRV",2,2009,14.2706413269043,281.633361816406,289.21955871582,16.0695587158203,296.805755615234
"KRV",3,2009,22.1103076934814,285.175048828125,292.577941894531,19.4279418945313,299.980834960938
"KRV",4,2009,28.6398372650146,287.244720458984,294.813949584961,21.663949584961,302.383178710938
"KRV",5,2009,276.818359375,292.386505126953,298.66423034668,25.5142303466797,304.941955566406
"KRV",6,2009,216.513641357422,295.148254394531,300.785491943359,27.6354919433594,306.422729492188
"KRV",7,2009,196.492324829102,295.823333740234,301.130905151367,27.9809051513672,306.4384765625
"KRV",8,2009,154.648620605469,296.477752685547,301.682403564453,28.5324035644531,306.887054443359
"KRV",9,2009,162.300109863281,295.159545898438,300.409042358398,27.2590423583985,305.658538818359
"KRV",10,2009,26.7269897460938,292.741333007812,298.642562866211,25.492562866211,304.543792724609
"KRV",11,2009,25.6217670440674,287.618560791016,293.469924926758,20.3199249267578,299.3212890625
"KRV",12,2009,107.301544189453,285.576995849609,291.055526733398,17.9055267333985,296.534057617188
"KRV",1,2010,48.7399139404297,278.761962890625,285.729187011719,12.5791870117188,292.696411132812
"KRV",2,2010,89.1847076416016,279.196685791016,285.642456054688,12.4924560546875,292.088226318359
"KRV",3,2010,212.59391784668,282.106842041016,288.909973144531,15.7599731445313,295.713104248047
"KRV",4,2010,99.4112548828125,288.487060546875,294.900817871094,21.7508178710938,301.314575195312
"KRV",5,2010,101.110694885254,293.248687744141,299.237182617188,26.0871826171875,305.225677490234
"KRV",6,2010,133.180786132812,295.797790527344,301.699676513672,28.5496765136719,307.6015625
"KRV",7,2010,156.122344970703,296.573974609375,301.793075561523,28.6430755615235,307.012176513672
"KRV",8,2010,217.854644775391,296.710754394531,301.669799804688,28.5197998046875,306.628845214844
"KRV",9,2010,124.449310302734,294.994720458984,300.384918212891,27.2349182128906,305.775115966797
"KRV",10,2010,3.30626654624939,289.337615966797,296.298095703125,23.148095703125,303.258575439453
"KRV",11,2010,48.0963821411133,285.941650390625,292.646545410156,19.4965454101563,299.351440429688
"KRV",12,2010,21.1156120300293,276.038970947266,283.886291503906,10.7362915039063,291.733612060547
"KRV",1,2011,103.77368927002,279.404052734375,287.181213378906,14.0312133789063,294.958374023438
"KRV",2,2011,10.7136211395264,283.459808349609,291.675003051758,18.5250030517578,299.890197753906
"KRV",3,2011,175.772979736328,284.935424804688,293.21565246582,20.0656524658203,301.495880126953
"KRV",4,2011,26.8480415344238,290.132202148438,297.408432006836,24.258432006836,304.684661865234
"KRV",5,2011,45.2465896606445,290.095458984375,298.307723999023,25.1577239990235,306.519989013672
"KRV",6,2011,211.463256835938,293.477905273438,301.062484741211,27.912484741211,308.647064208984
"KRV",7,2011,190.094680786133,295.206176757812,301.367568969727,28.2175689697266,307.528961181641
"KRV",8,2011,210.095977783203,296.008850097656,301.869354248047,28.7193542480469,307.729858398438
"KRV",9,2011,167.266693115234,294.773468017578,300.511367797852,27.3613677978516,306.249267578125
"KRV",10,2011,296.190887451172,288.820678710938,294.951080322266,21.8010803222656,301.081481933594
"KRV",11,2011,6.47779273986816,286.997436523438,293.310165405273,20.1601654052735,299.622894287109
"KRV",12,2011,17.1645984649658,284.278076171875,291.270812988281,18.1208129882813,298.263549804688
"KRV",1,2012,5.53449773788452,279.716125488281,288.740936279297,15.5909362792969,297.765747070312
"KRV",2,2012,47.7013168334961,285.434509277344,292.585479736328,19.4354797363281,299.736450195312
"KRV",3,2012,45.9893760681152,287.403564453125,294.765884399414,21.6158843994141,302.128204345703
"KRV",4,2012,33.6132545471191,287.696380615234,295.96923828125,22.81923828125,304.242095947266
"KRV",5,2012,96.9914779663086,291.618438720703,299.006393432617,25.8563934326172,306.394348144531
"KRV",6,2012,310.733032226562,293.307403564453,299.299789428711,26.149789428711,305.292175292969
"KRV",7,2012,148.797546386719,295.039428710938,301.200393676758,28.0503936767578,307.361358642578
"KRV",8,2012,285.776000976562,295.378326416016,301.25910949707,28.1091094970703,307.139892578125
