"","Nest","Year","Pop","Fledglings","TSI","invaded"
"586",586,2005,"KRV",2,1,1
"587",587,2005,"KRV",2,1,1
"588",588,2005,"KRV",1,1,1
"589",589,2005,"KRV",1,1,1
"590",590,2005,"KRV",2,1,1
"591",591,2005,"KRV",2,1,1
"592",592,2005,"KRV",2,1,1
"593",593,2005,"KRV",2,1,1
"594",594,2005,"KRV",3,1,1
"595",595,2005,"KRV",2,1,1
"596",596,2005,"KRV",2,1,1
"597",597,2005,"KRV",2,1,1
"598",598,2005,"KRV",3,1,1
"599",599,2005,"OKEE",1,-1,0
"600",600,2005,"OKEE",1,-1,0
"601",601,2005,"OKEE",1,-1,0
"602",602,2005,"SJM",2,-1,0
"603",603,2005,"SJM",1,-1,0
"604",604,2006,"EVER",1,-1,0
"605",605,2006,"EVER",1,-1,0
"606",606,2006,"EVER",1,-1,0
"607",607,2006,"EVER",1,-1,0
"608",608,2006,"EVER",1,-1,0
"609",609,2006,"EVER",1,-1,0
"610",610,2006,"EVER",1,-1,0
"611",611,2006,"EVER",1,-1,0
"612",612,2006,"EVER",1,-1,0
"613",613,2006,"EVER",1,-1,0
"614",614,2006,"EVER",1,-1,0
"615",615,2006,"EVER",1,-1,0
"616",616,2006,"EVER",1,-1,0
"617",617,2006,"EVER",2,-1,0
"618",618,2006,"EVER",2,-1,0
"619",619,2006,"EVER",1,-1,0
"620",620,2006,"EVER",1,-1,0
"621",621,2006,"EVER",2,-1,0
"622",622,2006,"EVER",1,-1,0
"623",623,2006,"EVER",1,-1,0
"624",624,2006,"EVER",1,-1,0
"625",625,2006,"EVER",2,-1,0
"626",626,2006,"EVER",2,-1,0
"627",627,2006,"EVER",2,-1,0
"628",628,2006,"KRV",1,2,1
"629",629,2006,"KRV",3,2,1
"630",630,2006,"KRV",2,2,1
"631",631,2006,"KRV",1,2,1
"632",632,2006,"KRV",1,2,1
"633",633,2006,"KRV",2,2,1
"634",634,2006,"OKEE",2,-1,0
"635",635,2006,"OKEE",2,-1,0
"636",636,2006,"OKEE",2,-1,0
"637",637,2006,"OKEE",2,-1,0
"638",638,2006,"OKEE",2,-1,0
"639",639,2006,"OKEE",1,-1,0
"640",640,2006,"SJM",1,-1,0
"641",641,2006,"SJM",2,-1,0
"642",642,2007,"KRV",2,3,1
"643",643,2007,"KRV",2,3,1
"644",644,2007,"KRV",2,3,1
"645",645,2007,"KRV",2,3,1
"646",646,2007,"KRV",2,3,1
"647",647,2007,"KRV",2,3,1
"648",648,2007,"KRV",1,3,1
"649",649,2007,"KRV",2,3,1
"650",650,2007,"KRV",2,3,1
"651",651,2007,"KRV",3,3,1
"652",652,2007,"KRV",3,3,1
"653",653,2007,"KRV",2,3,1
"654",654,2007,"KRV",1,3,1
"655",655,2007,"KRV",3,3,1
"656",656,2007,"KRV",2,3,1
"657",657,2007,"KRV",2,3,1
"658",658,2007,"KRV",2,3,1
"659",659,2007,"KRV",2,3,1
"660",660,2007,"KRV",2,3,1
"661",661,2007,"KRV",2,3,1
"662",662,2007,"KRV",1,3,1
"663",663,2007,"KRV",2,3,1
"664",664,2007,"KRV",1,3,1
"665",665,2007,"KRV",3,3,1
"666",666,2008,"EVER",1,-1,0
"667",667,2008,"EVER",1,-1,0
"668",668,2008,"EVER",1,-1,0
"669",669,2008,"KRV",3,4,1
"670",670,2008,"KRV",1,4,1
"671",671,2008,"KRV",2,4,1
"672",672,2008,"KRV",2,4,1
"673",673,2008,"KRV",2,4,1
"674",674,2008,"KRV",2,4,1
"675",675,2008,"KRV",3,4,1
"676",676,2008,"KRV",3,4,1
"677",677,2008,"KRV",3,4,1
"678",678,2008,"KRV",2,4,1
"679",679,2008,"KRV",1,4,1
"680",680,2008,"KRV",2,4,1
"681",681,2008,"KRV",1,4,1
"682",682,2008,"KRV",2,4,1
"683",683,2008,"KRV",2,4,1
"684",684,2008,"KRV",1,4,1
"685",685,2008,"KRV",1,4,1
"686",686,2008,"KRV",3,4,1
"687",687,2008,"KRV",2,4,1
"688",688,2008,"KRV",2,4,1
"689",689,2008,"KRV",1,4,1
"690",690,2008,"KRV",2,4,1
"691",691,2008,"KRV",2,4,1
"692",692,2008,"KRV",2,4,1
"693",693,2008,"KRV",1,4,1
